No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
1,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A0,1,1,0.75,20,0.02
2,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A1,1,1,1.75,40,0.09
3,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A2,1,2,3.5,60,0.18
4,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A3,1,4,7,120,0.36
5,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A4,1,8,14,240,0.72
6,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A5,1,2,14,135,0.33
7,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A6,1,4,28,285,0.66
8,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A7,1,8,56,605,1.32
9,Virtual Machine,West US,Windows,OS only,Standard,General purpose,D-series,D1,1,1,3.5,50,0.14
10,Virtual Machine,West US,Windows,OS only,Standard,General purpose,D-series,D2,1,2,7,100,0.28
11,Virtual Machine,West US,Windows,OS only,Standard,General purpose,D-series,D3,1,4,14,200,0.56
12,Virtual Machine,West US,Windows,OS only,Standard,General purpose,D-series,D4,1,8,28,400,1.12
13,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DCsv2-series,DC1s v2,1,1,4,50,0.303
14,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DCsv2-series,DC2s v2,1,2,8,100,0.606
15,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DCsv2-series,DC4s v2,1,4,16,200,1.212
16,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DCsv2-series,DC8 v2,1,8,32,400,2.424
17,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D1s,1,1,3.5,7,0.14
18,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D2s,1,2,7,14,0.28
19,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D3s,1,4,14,28,0.56
20,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D4s,1,8,28,56,1.12
21,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F1,1,1,2,16,0.108
22,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F2,1,2,4,32,0.216
23,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F4,1,4,8,64,0.433
24,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F8,1,8,16,128,0.866
25,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,F-series,F16,1,16,32,256,1.732
26,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fs-series,F1s,1,1,2,4,0.108
