No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
58,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D4d v4,2,4,16,150,0.45
59,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D8d v4,2,8,32,300,0.9
60,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D16d v5,2,16,64,600,1.8
61,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D32d v5,2,32,128,1200,3.6
62,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D48d v5,2,48,492,1800,5.4
63,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D64d v6,2,64,256,2400,7.2
64,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D1s,1,1,3.5,7,0.14
65,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D2s,1,2,7,14,0.28
66,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D3s,1,4,14,28,0.56
67,Virtual Machine,West US,Windows,OS only,Standard,General purpose,DS-series,D4s,1,8,28,56,1.12
68,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D1,2,1,3.5,50,1.26
69,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D2,2,2,7,100,0.252
70,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D3,2,4,14,200,0.504
71,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D4,2,8,28,400,1.008
72,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D5,2,16,56,800,2.016
73,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS1,2,1,3.5,7,0.126
74,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS2,2,2,7,14,0.252
75,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS3,2,4,14,28,0.504
76,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS4,2,8,28,56,1.008
77,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS5,2,16,56,112,2.016
78,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D2,2,2,8,50,0.209
79,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D4,2,4,16,100,0.418
80,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D8,2,8,32,200,0.836
81,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D16,2,16,64,400,1.672
82,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D32,2,32,128,800,3.344
83,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D48,2,48,192,1200,5.016
84,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D64,2,64,256,1600,6.688
85,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D2,2,2,8,0,0.204
86,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D4,2,4,16,0,0.204
87,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D8,2,8,32,0,0.816
88,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D16,2,16,64,0,1.632
89,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D32,2,32,128,0,3.264
90,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D48,2,48,192,0,4.896
91,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D64,2,64,256,0,6.528
92,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D2s,2,2,8,16,0.209
93,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D4s,2,4,16,32,0.418
