No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
57,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS5,2,16,56,112,2.016
58,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D2,2,2,8,50,0.209
59,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D4,2,4,16,100,0.418
60,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D8,2,8,32,200,0.836
61,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D16,2,16,64,400,1.672
62,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D32,2,32,128,800,3.344
63,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D48,2,48,192,1200,5.016
64,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D64,2,64,256,1600,6.688
65,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D2,2,2,8,0,0.204
66,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D4,2,4,16,0,0.204
67,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D8,2,8,32,0,0.816
68,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D16,2,16,64,0,1.632
69,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D32,2,32,128,0,3.264
70,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D48,2,48,192,0,4.896
71,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D64,2,64,256,0,6.528
72,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D2s,2,2,8,16,0.209
73,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D4s,2,4,16,32,0.418
74,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D8s,2,8,32,64,0.836
75,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D16s,2,16,64,128,1.672
76,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D32s,2,32,128,256,3.344
77,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D48s,2,48,192,384,5.016
78,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D64s,2,64,256,512,6.688
79,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D2s,2,2,8,0,0.204
80,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D4s,2,4,16,0,0.408
81,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D8s,2,8,32,0,0.816
82,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D16s,2,16,64,0,1.632
83,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D32s,2,32,128,0,3.264
84,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D48s,2,48,192,0,4.896
85,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv4-series,D64s,2,64,256,0,6.528
86,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F2s v2,2,2,4,16,0.198
87,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F4s v2,2,4,8,32,0.396
88,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F8s v2,2,8,16,64,0.792
89,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F16s v2,2,16,32,128,1.584
90,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F32s v2,2,32,64,256,3.168
91,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F48s v2,2,48,96,384,4.754
92,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F64s v2,2,64,128,512,6.336
93,Virtual Machine,West US,Windows,OS only,Standard,Compute optimized,Fsv2-series,F72s v2,2,72,144,576,7.128
94,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D11 v2,2,2,14,100,0.264
95,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D12 v2,2,4,28,200,0.528
96,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D13 v2,2,8,56,400,1.056
97,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D14 v2,2,16,112,800,2.111
98,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D15 v2,2,20,140,1000,2.639
99,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dv2-series,D15i v2,2,20,140,1000,2.639
100,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D11 v2,2,2,14,28,0.264
101,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D12 v2,2,4,28,56,0.528
102,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D13 v2,2,8,56,112,1.056
103,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D14 v2,2,16,112,224,2.111
104,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D15 v2,2,20,140,280,2.639
105,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Dsv2-series,D15i v2,2,20,140,280,2.639
106,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E2a v4,2,2,16,50,0.232
107,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E4a v4,2,4,32,100,0.464
108,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E8a v4,2,8,64,200,0.928
109,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E16a v4,2,16,128,400,1.856
110,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E20a v4,2,20,160,500,2.32
111,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E32a v4,2,32,256,800,3.712
112,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E48a v4,2,48,384,1200,5.568
113,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E64a v4,2,64,432,1600,7.424
114,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ea v4-series,E96a v4,2,96,672,2400,11.136
115,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E2as v4,2,2,16,32,0.232
116,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E4as v4,2,4,32,64,0.464
117,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E8as v4,2,8,64,128,0.928
118,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E16as v4,2,16,128,256,1.856
119,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E20as v4,2,20,160,320,2.32
120,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E32as v4,2,32,256,512,3.712
121,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E48as v4,2,48,384,768,5.568
122,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E64as v4,2,64,432,864,7.424
123,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E96as v4,2,96,672,1344,11.136
124,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E2ds v4,2,2,16,75,0.254
125,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E4ds v4,2,4,32,150,0.508
126,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E8ds v4,2,8,64,300,1.016
127,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E16ds v4,2,16,128,600,2.032
128,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E20ds v4,2,20,160,750,2.54
129,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E32ds v4,2,32,256,1200,4.064
130,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E48ds v4,2,48,384,1800,6.096
131,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E64ds v4,2,64,504,2400,8.128
132,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E80ds v4,2,80,504,2400,10.16
133,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E2d v4,2,2,16,75,0.254
134,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E4d v4,2,4,32,150,0.508
